year,country,co2_pp,hdi,co2_pp_area,region
1990,Afghanistan,0.213,0.295,0.46151923,Asia and Oceania
1990,Albania,1.68,0.635,1.29614814,Eastern Europe
1990,Algeria,2.97,0.577,1.723368794,Middle East and N Africa
1990,Andorra,7.47,,2.733130074,Western Europe exc EC
1990,Angola,0.42,,0.64807407,Sub-Saharan Africa
1990,Antigua and Barbuda,4.23,,2.05669638,Asia and Oceania
1990,Argentina,3.43,0.705,1.852025918,Latin America and Caribbean
1990,Armenia,1.87,0.634,1.367479433,Eastern Europe
1990,Australia,15.5,0.866,3.937003937,Asia and Oceania
1990,Austria,7.47,0.794,2.733130074,European Community
1990,Azerbaijan,8.82,,2.969848481,Eastern Europe
1990,Bahamas,7.61,,2.758622845,Latin America and Caribbean
1990,Bahrain,25.1,0.745,5.00999002,Middle East and N Africa
1990,Bangladesh,0.146,0.386,0.382099463,Asia and Oceania
1990,Barbados,4.13,0.714,2.032240143,Latin America and Caribbean
1990,Belarus,9.72,,3.117691454,Eastern Europe
1990,Belgium,10.6,0.805,3.255764119,European Community
1990,Belize,1.66,0.648,1.288409873,Latin America and Caribbean
1990,Benin,0.142,0.345,0.376828874,Sub-Saharan Africa
1990,Bhutan,0.239,,0.488876262,Asia and Oceania
1990,Bolivia,0.84,0.535,0.916515139,Latin America and Caribbean
1990,Bosnia and Herzegovina,,,0,Eastern Europe
1990,Botswana,1.96,0.585,1.4,Sub-Saharan Africa
1990,Brazil,1.4,0.611,1.183215957,Latin America and Caribbean
1990,Brunei,23.9,0.782,4.888762625,Asia and Oceania
1990,Bulgaria,8.42,0.7,2.901723626,European Community
1990,Burkina Faso,0.0662,,0.257293607,Sub-Saharan Africa
1990,Burundi,0.0386,0.27,0.196468827,Sub-Saharan Africa
1990,Cambodia,0.141,0.357,0.375499667,Asia and Oceania
1990,Cameroon,0.148,0.444,0.384707681,Sub-Saharan Africa
1990,Canada,15.7,0.849,3.962322551,North America
1990,Cape Verde,0.279,,0.528204506,Sub-Saharan Africa
1990,Central African Republic,0.0674,0.32,0.2596151,Sub-Saharan Africa
1990,Chad,0.024,,0.154919334,Sub-Saharan Africa
1990,Chile,2.52,0.7,1.587450787,Latin America and Caribbean
1990,China,2.08,0.499,1.44222051,Asia and Oceania
1990,Colombia,1.67,0.592,1.292284798,Latin America and Caribbean
1990,Comoros,0.151,,0.388587185,Asia and Oceania
1990,"Congo, Dem. Rep.",0.118,0.356,0.343511281,Sub-Saharan Africa
1990,"Congo, Rep.",0.487,0.521,0.697853853,Sub-Saharan Africa
1990,Costa Rica,0.955,0.653,0.977241014,Latin America and Caribbean
1990,Cote d'Ivoire,0.41,0.389,0.640312424,Sub-Saharan Africa
1990,Croatia,,0.669,0,European Community
1990,Cuba,3.15,0.676,1.774823935,Latin America and Caribbean
1990,Cyprus,5.71,0.733,2.389560629,European Community
1990,Czech Republic,16,0.761,4,European Community
1990,Denmark,9.77,0.799,3.125699922,European Community
1990,Djibouti,0.547,,0.739594483,Sub-Saharan Africa
1990,Dominica,0.827,,0.909395404,Latin America and Caribbean
1990,Dominican Republic,1.28,0.596,1.13137085,Latin America and Caribbean
1990,Ecuador,1.65,0.643,1.284523258,Latin America and Caribbean
1990,Egypt,1.32,0.547,1.148912529,Middle East and N Africa
1990,El Salvador,0.478,0.529,0.691375441,Latin America and Caribbean
1990,Equatorial Guinea,0.155,,0.393700394,Sub-Saharan Africa
1990,Eritrea,,,0,Sub-Saharan Africa
1990,Estonia,,0.728,0,European Community
1990,Ethiopia,0.0628,,0.250599282,Sub-Saharan Africa
1990,Fiji,1.12,0.641,1.058300524,Asia and Oceania
1990,Finland,10.4,0.783,3.224903099,European Community
1990,France,6.6,0.779,2.569046516,European Community
1990,Gabon,4.73,0.62,2.174856317,Sub-Saharan Africa
1990,Gambia,0.192,0.33,0.438178046,Sub-Saharan Africa
1990,Georgia,3.22,,1.794435844,Eastern Europe
1990,Germany,12.8,0.801,3.577708764,European Community
1990,Ghana,0.261,0.455,0.510881591,Sub-Saharan Africa
1990,Greece,7.25,0.76,2.692582404,European Community
1990,Grenada,1.1,,1.048808848,Latin America and Caribbean
1990,Guatemala,0.549,0.478,0.740945342,Latin America and Caribbean
1990,Guinea,0.166,0.271,0.407430976,Sub-Saharan Africa
1990,Guinea-Bissau,0.17,,0.412310563,Sub-Saharan Africa
1990,Guyana,1.52,0.541,1.232882801,Latin America and Caribbean
